transformer_kernel_id,transformer_kernel,sector,transformer_kernel_code,description,description_long,units_description,citations,variables_affected,requires_fp_model_for_full_effect,requires_fp_model_for_primary_effect,description_of_fp_model_interaction
65,TRNS: Fuel switch medium duty road transport,EN,TFR:TRNS:SHIFT_FUEL_MEDIUM_DUTY,Shift medium-duty fuels to less carbon-intensive sources. Default is to shift 70% to electricity.,Shift medium-duty fuels to less carbon-intensive sources. Default is to shift 70% to electricity.,Minimum target fraction of medium duty transportation fueled by electricity. Can be used to explore other fuel shifts through a dictionary.,,,1,1,"Fuel shifting can have a significant effect on in-sector (on-site combustion) emissions. However, depending on the input share of fuels, the effect on fuel production may be nearly as significant or greater."
66,TRNS: Electrify rail,EN,TFR:TRNS:SHIFT_FUEL_RAIL,Shift rail (freight and passenger) fuels to less carbon-intensive sources. Default is to shift 25% to electricity.,Shift rail (freight and passenger) fuels to less carbon-intensive sources. Default is to shift 25% to electricity.,Minimum target fraction of rail fueled by electricity. Can be used to explore other fuel shifts through a dictionary.,,,1,1,"Fuel shifting can have a significant effect on in-sector (on-site combustion) emissions. However, depending on the input share of fuels, the effect on fuel production may be nearly as significant or greater."
67,TRNS: Mode shift freight,EN,TFR:TRNS:SHIFT_MODE_FREIGHT,Mode shift some percentage of freight demand to other modes. Default is to shift 20% from aviation and road to rail. ,Mode shift some percentage of freight demand to other modes. Default is to shift 20% from aviation and road to rail. ,"Specify a fractional reduction in the average methane correction factor at landfills. Can be used to represent shifts to semi-aerobic landfills. Negative values will _increase_ the MCF, representing a shift to anaerobic landfills.",,,1,0,"Mode shifting can affect fuel demands, especially if shifting moves from modes that are driven primarily by fossil fuels to some that are driven primarily by non-fossil fuels--one example would be shifting from gas cars (light duty vehicles) to electrified public transportation. In these cases, the primary effect would show up in both transportation and the fuel production (ENTC) model."
68,TRNS: Mode shift passenger vehicles to others,EN,TFR:TRNS:SHIFT_MODE_PASSENGER,"Mode shift some percentage of day-to-day passenger demand to other modes. Default is to shift 30% from light-duty cars to e-mobility, walking and biking, and public transportation.","Mode shift some percentage of day-to-day passenger demand to other modes. Default is to shift 30% from light-duty cars to e-mobility, walking and biking, and public transportation.",Fraction of passenger demand shifted from light-duty road PKMT to other forms (default is human powered and light-weight mobility). Additional mode shifts can be explored through a dictionary.,,,1,0,"Mode shifting can affect fuel demands, especially if shifting moves from modes that are driven primarily by fossil fuels to some that are driven primarily by non-fossil fuels--one example would be shifting from gas cars (light duty vehicles) to electrified public transportation. In these cases, the primary effect would show up in both transportation and the fuel production (ENTC) model."
69,TRNS: Mode shift regional passenger travel,EN,TFR:TRNS:SHIFT_MODE_REGIONAL,Mode shift some percentage of regional passenger demand to other modes. Default is to shift 10% of aviation and 20% of regional light-duty demands to passenger rail.,Mode shift some percentage of regional passenger demand to other modes. Default is to shift 10% of aviation and 20% of regional light-duty demands to passenger rail.,Fraction of regional passenger demand shifted from light-duty road and aviation PKMT to heavy-duty road.,,,1,0,"Mode shifting can affect fuel demands, especially if shifting moves from modes that are driven primarily by fossil fuels to some that are driven primarily by non-fossil fuels--one example would be shifting from gas cars (light duty vehicles) to electrified public transportation. In these cases, the primary effect would show up in both transportation and the fuel production (ENTC) model."
70,IPPU: Reduce cement clinker,IP,TFR:IPPU:DEC_CLINKER,Reduces use of clinker in cement production,,Fractional reduction in clinker use in cement production.,,,0,0,
71,IPPU: Demand management,IP,TFR:IPPU:DEC_DEMAND,"Decrease production demands of industry. If Implemented, default value is 30%.","Decrease production demands of industry. If Implemented, default value is 30%.",Fractional reduction in production demand. NOTE: This transformer is not commonly used.,,,1,1,"Changing demands for industrial production will affect demand for energy, which affects demands for on-site combustion of fuels. However, depending on the input share of fuels, the effect on fuel production may be nearly as significant or greater."
72,IPPU: Reduce use of HFCs,IP,TFR:IPPU:DEC_HFCS,"Decrease the emission of HFCs in industrial processes through technological change, leak control, and discontinuation of use. Default value is 10%.","Decrease the emission of HFCs in industrial processes through technological change, leak control, and discontinuation of use. Default value is 10%.",Fractional reduction in HFC emission factors per production quantity.,,,0,0,
73,IPPU: Reduce Nitrous Oxide emissions,IP,TFR:IPPU:DEC_N2O,"Decrease the emission of N2O in industrial processes through technological change, leak control, and discontinuation of use. Default value is 10%.","Decrease the emission of N2O in industrial processes through technological change, leak control, and discontinuation of use. Default value is 10%.",Fractional reduction in N2O emission factors per production quantity.,,,0,0,
74,IPPU: Reduce other fluorinated compounds,IP,TFR:IPPU:DEC_OTHER_FCS,"Includes SF6, NF3, HCFCs, and others",,Fractional reduction in other FCs emission factors per production quantity.,,,0,0,
75,IPPU: Reduce use of PFCs,IP,TFR:IPPU:DEC_PFCS,"Decrease the emission of PFCs in industrial processes through technological change, leak control, and discontinuation of use. Default value is 10%.","Decrease the emission of PFCs in industrial processes through technological change, leak control, and discontinuation of use. Default value is 10%.",Fractional reduction in PFC emission factors per production quantity.,,,0,0,
76,GNRL: Increase urban density,SE,TFR:GNRL:INC_DENSITY_URBAN,"Increase urban population density, which affects settlements and the area of land needed for built-up, urban areas.",,"Fractional increase in population density; e.g., enter 20% to increase density by 20%. Negative numbers indicate decreasing density of urban areas.",,,0,0,
77,PFLO: Change diets,ZZ - CROSS,TFR:PFLO:INC_HEALTHIER_DIETS,Includes a reduction in the demand for red meat and allows for changes to different crop demands.,,Fractional target maximum fraction of per-capita demand for red meat (cattle).,,,1,0,"Changing diets will affect demand for livestock and associated shift production, which affects energy demands. While this is not the primary affect of the transformation, quantifying the full effect requires running the fuel production model. "
78,PFLO: Industrial carbon capture and sequestration,ZZ - CROSS,TFR:PFLO:INC_IND_CCS,"Implements carbon capture at industrial facilities, affecting both INEN and IPPU emissions. Specify a minimum target fraction of industrial facilities using carbon capture (prevalence) and target effectiveness of carbon capture at those faciltiies.",,Minimum target fraction of industrial facilities using carbon capture (prevalence) and target effectiveness of carbon capture at those faciltiies.,,,1,0,"Implementing carbon capture and sequestration at industrial facilities can increase energy demands for electricity, which are passed to the fuel production model. However, the primary effect is measured in-sector through reductions in carbon emissions."
